keff,panels_deg,areal_dens,type,solbor,burnup,vf
0.90004,0,1.00E-11,bwr,0,12,0
0.90253,1,1.00E-11,bwr,0,12,0
0.90577,2,1.00E-11,bwr,0,12,0
0.9168,3,1.00E-11,bwr,0,12,0
0.93348,4,1.00E-11,bwr,0,12,0
0.981,8,1.00E-11,bwr,0,12,0
1.01371,12,1.00E-11,bwr,0,12,0
1.06157,20,1.00E-11,bwr,0,12,0
1.11349,40,1.00E-11,bwr,0,12,0
1.15152,80,1.00E-11,bwr,0,12,0
1.20309,200,1.00E-11,bwr,0,12,0
0.90004,0,0.002,bwr,0,12,0
0.9013,1,0.002,bwr,0,12,0
0.90192,2,0.002,bwr,0,12,0
0.90388,3,0.002,bwr,0,12,0
0.90606,4,0.002,bwr,0,12,0
0.91797,8,0.002,bwr,0,12,0
0.93157,12,0.002,bwr,0,12,0
0.95408,20,0.002,bwr,0,12,0
0.98481,40,0.002,bwr,0,12,0
1.00961,80,0.002,bwr,0,12,0
1.04764,200,0.002,bwr,0,12,0
0.90004,0,0.004,bwr,0,12,0
0.90104,1,0.004,bwr,0,12,0
0.902,2,0.004,bwr,0,12,0
0.9025,3,0.004,bwr,0,12,0
0.90347,4,0.004,bwr,0,12,0
0.90921,8,0.004,bwr,0,12,0
0.91443,12,0.004,bwr,0,12,0
0.92823,20,0.004,bwr,0,12,0
0.94928,40,0.004,bwr,0,12,0
0.97029,80,0.004,bwr,0,12,0
1.0022,200,0.004,bwr,0,12,0
0.90004,0,0.006,bwr,0,12,0
0.90134,1,0.006,bwr,0,12,0
0.90157,2,0.006,bwr,0,12,0
0.90166,3,0.006,bwr,0,12,0
0.90273,4,0.006,bwr,0,12,0
0.90508,8,0.006,bwr,0,12,0
0.90922,12,0.006,bwr,0,12,0
0.91676,20,0.006,bwr,0,12,0
0.93216,40,0.006,bwr,0,12,0
0.94823,80,0.006,bwr,0,12,0
0.97669,200,0.006,bwr,0,12,0
0.90004,0,0.008,bwr,0,12,0
0.90056,1,0.008,bwr,0,12,0
0.90083,2,0.008,bwr,0,12,0
0.90134,3,0.008,bwr,0,12,0
0.90225,4,0.008,bwr,0,12,0
0.90318,8,0.008,bwr,0,12,0
0.90547,12,0.008,bwr,0,12,0
0.91076,20,0.008,bwr,0,12,0
0.92157,40,0.008,bwr,0,12,0
0.93569,80,0.008,bwr,0,12,0
0.95818,200,0.008,bwr,0,12,0
0.90004,0,0.01,bwr,0,12,0
0.90091,1,0.01,bwr,0,12,0
0.90079,2,0.01,bwr,0,12,0
